RetainedTxp	DuplicateTxp
ENST00000333385.10|ENSG00000273520.4|OTTHUMG00000188238.2|OTTHUMT00000477653.1|SPDYE8P-201|SPDYE8P|2281|processed_transcript|	ENST00000340073.8|ENSG00000275976.4|OTTHUMG00000188240.2|OTTHUMT00000477654.1|SPDYE11-201|SPDYE11|2281|processed_transcript|
ENST00000333385.10|ENSG00000273520.4|OTTHUMG00000188238.2|OTTHUMT00000477653.1|SPDYE8P-201|SPDYE8P|2281|processed_transcript|	ENST00000575125.5|ENSG00000262461.5|OTTHUMG00000150524.3|OTTHUMT00000318756.2|SPDYE9P-203|SPDYE9P|2281|processed_transcript|
ENST00000437818.1|ENSG00000233050.1|OTTHUMG00000158721.2|OTTHUMT00000351890.2|DEFB130B-201|DEFB130B|240|protein_coding|	ENST00000400079.1|ENSG00000232948.1|OTTHUMG00000158742.2|OTTHUMT00000351999.2|DEFB130A-201|DEFB130A|240|protein_coding|
ENST00000390333.1|ENSG00000211687.1|OTTHUMG00000155217.4|OTTHUMT00000338823.4|TRGJ2-201|TRGJ2|50|TR_J_gene|	ENST00000390337.1|ENSG00000211690.1|OTTHUMG00000155214.3|OTTHUMT00000338820.3|TRGJ1-201|TRGJ1|50|TR_J_gene|
ENST00000617576.2|ENSG00000274599.2|OTTHUMG00000189293.1|OTTHUMT00000479300.1|DUX4L24-201|DUX4L24|1269|unprocessed_pseudogene|	ENST00000615195.1|ENSG00000276964.1|OTTHUMG00000189294.1|OTTHUMT00000479301.1|DUX4L23-201|DUX4L23|1269|unprocessed_pseudogene|
ENST00000617576.2|ENSG00000274599.2|OTTHUMG00000189293.1|OTTHUMT00000479300.1|DUX4L24-201|DUX4L24|1269|unprocessed_pseudogene|	ENST00000618238.1|ENSG00000277274.1|OTTHUMG00000189295.1|OTTHUMT00000479302.1|DUX4L22-201|DUX4L22|1269|unprocessed_pseudogene|
ENST00000617576.2|ENSG00000274599.2|OTTHUMG00000189293.1|OTTHUMT00000479300.1|DUX4L24-201|DUX4L24|1269|unprocessed_pseudogene|	ENST00000619712.1|ENSG00000276164.1|OTTHUMG00000189297.1|OTTHUMT00000479304.1|DUX4L20-201|DUX4L20|1269|unprocessed_pseudogene|
ENST00000580266.6|ENSG00000265658.6|-|-|MIR3690-201|MIR3690|75|miRNA|	ENST00000580266.6_PAR_Y|ENSG00000265658.6_PAR_Y|-|-|MIR3690-201|MIR3690|75|miRNA|
ENST00000638483.1|ENSG00000284234.1|OTTHUMG00000161865.3|OTTHUMT00000366254.3|AC106774.6-201|AC106774.6|597|protein_coding|	ENST00000638842.1|ENSG00000284356.1|OTTHUMG00000161857.2|OTTHUMT00000366237.2|AC233724.20-201|AC233724.20|597|protein_coding|
ENST00000441344.1|ENSG00000015568.12|OTTHUMG00000130985.17|OTTHUMT00000330111.2|RGPD5-207|RGPD5|541|protein_coding|	ENST00000490990.1|ENSG00000183054.11|OTTHUMG00000153196.11|OTTHUMT00000330154.1|RGPD6-211|RGPD6|541|processed_transcript|
ENST00000441344.1|ENSG00000015568.12|OTTHUMG00000130985.17|OTTHUMT00000330111.2|RGPD5-207|RGPD5|541|protein_coding|	ENST00000496537.1|ENSG00000169629.11|OTTHUMG00000153289.3|OTTHUMT00000330563.3|RGPD8-206|RGPD8|541|protein_coding|
ENST00000422549.1|ENSG00000237763.9|OTTHUMG00000011020.7|OTTHUMT00000030306.5|AMY1A-202|AMY1A|403|protein_coding|	ENST00000425410.1|ENSG00000174876.16|OTTHUMG00000011021.2|OTTHUMT00000030311.1|AMY1B-203|AMY1B|403|protein_coding|
ENST00000434218.1|ENSG00000172250.14|OTTHUMG00000150888.3|OTTHUMT00000320529.1|SERHL-202|SERHL|596|retained_intron|	ENST00000472589.1|ENSG00000183569.17|OTTHUMG00000150892.3|OTTHUMT00000320460.1|SERHL2-207|SERHL2|596|retained_intron|
ENST00000369423.7|ENSG00000124334.17|OTTHUMG00000022720.1|OTTHUMT00000058980.1|IL9R-202|IL9R|2032|protein_coding|	ENST00000369423.7_PAR_Y|ENSG00000124334.17_PAR_Y|OTTHUMG00000022720.1|OTTHUMT00000058980.1|IL9R-202|IL9R|2032|protein_coding|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000516982.2|ENSG00000273927.1|-|-|Y_RNA.777-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000622480.1|ENSG00000274984.1|-|-|Y_RNA.789-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000363043.1|ENSG00000199913.1|-|-|Y_RNA.92-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000459002.1|ENSG00000239069.1|-|-|Y_RNA.650-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000598668.1|ENSG00000267828.1|-|-|Y_RNA.771-201|Y_RNA|102|misc_RNA|
